num_step,gregaire,peureuse,kamikaze,prevoyante,pers_multi,camouflage,carapace,nageoires,yeux,oreilles
166,57.1429,14.2857,0,28.5714,0,42.8571,57.1429,71.4286,0,0
167,57.1429,14.2857,0,28.5714,0,42.8571,57.1429,71.4286,0,0
168,57.1429,14.2857,0,28.5714,0,42.8571,57.1429,71.4286,0,0
169,57.1429,14.2857,0,28.5714,0,42.8571,57.1429,71.4286,0,0
170,57.1429,14.2857,0,28.5714,0,42.8571,57.1429,71.4286,0,0
171,57.1429,14.2857,0,28.5714,0,42.8571,57.1429,71.4286,0,0
172,57.1429,14.2857,0,28.5714,0,42.8571,57.1429,71.4286,0,0
173,62.5,12.5,0,25,0,37.5,50,62.5,0,0
174,62.5,12.5,0,25,0,37.5,50,62.5,0,0
175,62.5,12.5,0,25,0,37.5,50,62.5,0,0
176,62.5,12.5,0,25,0,37.5,50,62.5,0,0
177,62.5,12.5,0,25,0,37.5,50,62.5,0,0
178,62.5,12.5,0,25,0,37.5,50,62.5,0,0
179,62.5,12.5,0,25,0,37.5,50,62.5,0,0
180,62.5,12.5,0,25,0,37.5,50,62.5,0,0
181,62.5,12.5,0,25,0,37.5,50,62.5,0,0
182,62.5,12.5,0,25,0,37.5,50,62.5,0,0
183,62.5,12.5,0,25,0,37.5,50,62.5,0,0
184,62.5,12.5,0,25,0,37.5,50,62.5,0,0
185,62.5,12.5,0,25,0,37.5,50,62.5,0,0
186,62.5,12.5,0,25,0,37.5,50,62.5,0,0
187,62.5,12.5,0,25,0,37.5,50,62.5,0,0
188,62.5,12.5,0,25,0,37.5,50,62.5,0,0
189,62.5,12.5,0,25,0,37.5,50,62.5,0,0
190,62.5,12.5,0,25,0,37.5,50,62.5,0,0
191,62.5,12.5,0,25,0,37.5,50,62.5,0,0
192,62.5,12.5,0,25,0,37.5,50,62.5,0,0
193,62.5,12.5,0,25,0,37.5,50,62.5,0,0
194,62.5,12.5,0,25,0,37.5,50,62.5,0,0
195,62.5,12.5,0,25,0,37.5,50,62.5,0,0
196,62.5,12.5,0,25,0,37.5,50,62.5,0,0
197,62.5,12.5,0,25,0,37.5,50,62.5,0,0
198,62.5,12.5,0,25,0,37.5,50,62.5,0,0
199,62.5,12.5,0,25,0,37.5,50,62.5,0,0
200,62.5,12.5,0,25,0,37.5,50,62.5,0,0
201,62.5,12.5,0,25,0,37.5,50,62.5,0,0
202,62.5,12.5,0,25,0,37.5,50,62.5,0,0
203,62.5,12.5,0,25,0,37.5,50,62.5,0,0
204,62.5,12.5,0,25,0,37.5,50,62.5,0,0
205,62.5,12.5,0,25,0,37.5,50,62.5,0,0
206,62.5,12.5,0,25,0,37.5,50,62.5,0,0
207,62.5,12.5,0,25,0,37.5,50,62.5,0,0
208,62.5,12.5,0,25,0,37.5,50,62.5,0,0
209,62.5,12.5,0,25,0,37.5,50,62.5,0,0
210,62.5,12.5,0,25,0,37.5,50,62.5,0,0
211,62.5,12.5,0,25,0,37.5,50,62.5,0,0
